"title","description","cost","min_age","start","end","published","theme","event_type","picture","contact_name","contact_email_address","contact_phone_number","organisation","cyberevent","venue_name","venue_address_1","venue_address_2","venue_address_3","venue_city","venue_county","venue_postcode","provider","booking required","aditional_info"
"Kite-making for children aged 8+",,"Free",8,27/10/09 14:00,27/10/09 15:00,TRUE,"Sport and Physical Activity","Workshop",,,,"0151 489 9814",,,"Page Moss Library","Stockbridge Lane",,"Page Moss","Knowsley",,"L36 3SA",,FALSE,
"Kite-making for children aged 8+",,"Free",8,28/10/09 14:00,28/10/09 15:00,TRUE,"Sport and Physical Activity","Workshop",,,,"0151 443 3734",,,"Huyton Library","Civic Way",,"Huyton","Knowsley",,"L36 9GD",,FALSE,
"Kitemaking sessions ","Kitemaking workshops suitable for the whole family.   ","Free",,18/10/09 10:00,18/10/09 12:00,TRUE,"Sport and Physical Activity","Workshop",,"Sue Clayton",,"01298 25331",,,"Buxton Library","Kents Bank Road",,,"Buxton",,"SK17 9HW",,TRUE,"www.derbyshire.gov.uk"
"Kitemaking sessions ","Kitemaking workshops suitable for the whole family.   ","Free",,18/10/09 13:00,18/10/09 15:00,TRUE,"Sport and Physical Activity","Workshop",,"Sue Clayton",,"01298 25331",,,"Buxton Library","Kents Bank Road",,,"Buxton",,"SK17 9HW",,TRUE,"www.derbyshire.gov.uk"
"Kushti Atchin Tan","A day of storytelling at a local primary school, where there is a traditional Gypsy bow top wagon. Inviting members of the local Travelling community to hear traditional tales from there culture","Free",,18/10/09 09:00,,TRUE,"Heritage and History","Performance",,"Barby Phillips",,"07760 167 467",,,"Partington Primary School","Central Rd",,"Partington","Manchester",,"M31 4FL",,FALSE,
"Lads & Dads Day","Meet Tom Farmer, football fan and author. Most suitable for families with children aged between 7 & 13 years. Book at the Library Counter.","Free",7,17/10/09 10:00,17/10/09 10:45,TRUE,"Other","Other",,,,"0161 253 5872/3",,,"Bury Central Library","Manchester Road",,,"Bury",,"BL9 0DG",,FALSE,
"Language of the drums","The djembe drums occupies an important place in West African culture. Learn more about the importance of the drum, when it is played and some secret drum language in this interactive workshop!","Free (Charge for adult Museum entry applies. Kids go free all year round)",,29/10/09 12:30,29/10/09 13:30,TRUE,"Music and Performing Arts","Workshop",,"Box Office",,"020 7001 9844",,,"Museum of London Docklands","West India Quay",,,"London",,"E14 4AL",,TRUE,
"Learn Together Open Day","Open day for all groups. Womens group. Youth club. After school group. Day care.","Free",,21/10/09 09:00,,TRUE,"Other","Other",,"Paul",,"0151 653 7177",,,"Cavendish Centre","1 Bray St",,,"Birkenhead",,"CH41 8BX",,FALSE,
"Lecture on the science of sound","This is a family lectureon the science of sound.Please phone to book places.","Free",,25/10/09 13:00,,TRUE,"Other","Demonstration",,"Corinne Miller",,1614340491,,,"St Francis Community Centre","Chalford Rd",,"Wythenshawe","Manchester",,"M23 2FT",,TRUE,
"Leeds ABC Parents' workshop","This event is for the parents and carers of autistic children and young people. They will have the opportunity to make resources to support their child and network with each other.","Free",,19/10/09 10:00,19/10/09 14:00,TRUE,"Community Action","Other",,"Mandy Craven",,"2180131 or 2795142",,,"Cubic Business Centre","Suite 3","533 Stanningley Road",,"Leeds",,"LS13 4EN",,TRUE,"www.abcleeds.org.uk"
"Lifting the Lid - Creative Storymaking for families","Creative writing workshop for families with Susie Muncaster","Free",,26/10/09 10:00,26/10/09 13:00,TRUE,"Culture, Arts & Crafts","Workshop",,"Sue Clayton",,"01298 25331",,,"Buxton Library","Kents Bank Road",,,"Buxton",,"SK17 9HW",,TRUE,"www.derbyshire.gov.uk"
"Lifting the Lid - Creative Storymaking for families","Creative writing workshop for families with Susie Muncaster","Free",,26/10/09 14:00,26/10/09 17:00,TRUE,"Culture, Arts & Crafts","Workshop",,"Sue Clayton",,"01298 25331",,,"Buxton Library","Kents Bank Road",,,"Buxton",,"SK17 9HW",,TRUE,"www.derbyshire.gov.uk"
"Live Music Now Event","Michael Haywood & Laura Grime - Traditional Scottish Folk Duo","Free",,30/10/09 10:30,30/10/09 11:30,TRUE,"Music and Performing Arts","Performance",,,,"0845 300 5157",,,"Pickering Library","The Ropery",,,"Pickering",,"YO18 8DY",,FALSE,
"Live Music Now Event","Michael Haywood & Laura Grime - Traditional Scottish Folk Duo","Free",,30/10/09 14:00,30/10/09 15:00,TRUE,"Music and Performing Arts","Performance",,,,"0845 034 9528",,,"Kirkbymoorside Library","7 High Market Place",,"Kirkbymoorside","York",,"YO62 6AT",,FALSE,
"Live Music Now Event","Sax - Ecosse - Michelle Melvin & Karen Dufour (Saxaphone Duo)","Free",,26/10/09 14:00,26/10/09 15:00,TRUE,"Music and Performing Arts","Performance",,,,"0845 034 9515",,,"Scalby Library","450 Scalby Road",,"Newby","Scarborough",,"YO12 6EE",,FALSE,
"Live Music Now Event","Sax - Ecosse - Michelle Melvin & Karen Dufour (Saxaphone Duo)","Free",,27/10/09 10:30,27/10/09 11:30,TRUE,"Music and Performing Arts","Performance",,,,"0845 034 9540",,,"Selby Library","52 Micklegate",,,"Selby",,"YO8 4EQ",,FALSE,
"Live Music Now Event","Michael Haywood & Laura Grime - Traditional Scottish Folk Duo","Free",,26/10/09 14:00,26/10/09 15:00,TRUE,"Music and Performing Arts","Performance",,,,"0845 300 5112",,,"Knaresborough Library","Market Place",,,"Knaresborough",,"HG5 8AG",,FALSE,
"Live Music Now Event","Michael Haywood & Laura Grime - Traditional Scottish Folk Duo","Free",,27/10/09 10:30,27/10/09 11:30,TRUE,"Music and Performing Arts","Performance",,,,"0845 034 9538",,,"Skipton Library","High Street",,,"Skipton",,"BD23 1JX",,FALSE,
"Live Music Now Event","Michael Haywood & Laura Grime - Traditional Scottish Folk Duo","Free",,27/10/09 14:00,27/10/09 15:00,TRUE,"Music and Performing Arts","Performance",,,,"0845 034 9536",,,"Ingleton Library","Main Street",,"Ingleton","Carnforth",,"LA6 3HG",,FALSE,
"Live Music Now Event","Michael Haywood & Laura Grime - Traditional Scottish Folk Duo","Free",,28/10/09 10:30,28/10/09 11:30,TRUE,"Music and Performing Arts","Performance",,,,"0845 034 9518",,,"Bilton Library","Bilton Lane",,,"Harrogate",,"HG1 3DT",,FALSE,
"Live Music Now Event","Michael Haywood & Laura Grime - Traditional Scottish Folk Duo","Free",,28/10/09 14:00,28/10/09 15:00,TRUE,"Music and Performing Arts","Performance",,,,"0845 034 9513",,,"Filey Library","Station Avenue",,,"Filey",,"YO14 9AE",,FALSE,
"Live Music Now Event","Michael Haywood & Laura Grime - Traditional Scottish Folk Duo","Free",,29/10/09 10:30,29/10/09 11:30,TRUE,"Music and Performing Arts","Performance",,,,"0845 034 9524",,,"Ripon Library","The Arcade",,,"Ripon",,"HG4 1AG",,FALSE,
"Live Music Now Event","Michael Haywood & Laura Grime - Traditional Scottish Folk Duo","Free",,29/10/09 14:00,29/10/09 15:00,TRUE,"Music and Performing Arts","Performance",,,,"0845 034 9505",,,"Leyburn Library","Thornborough Hall",,,"Leyburn",,"DL8 5AB",,FALSE,
"Live Music Now Event","Sax - Ecosse - Michelle Melvin & Karen Dufour (Saxaphone Duo)","Free",,27/10/09 14:00,27/10/09 15:00,TRUE,"Music and Performing Arts","Performance",,,,"0845 034 9443",,,"Sherburn Library","Finkle Hill",,"Sherburn in Elmoet","Leeds",,"LS25 6EA",,FALSE,
"Live Music Now Event","Sax - Ecosse - Michelle Melvin & Karen Dufour (Saxaphone Duo)","Free",,28/10/09 10:30,28/10/09 11:30,TRUE,"Music and Performing Arts","Performance",,,,"0845 034 9508",,,"Richmond Library","Queens Road",,,"Richmond",,"DL10 4AE",,FALSE,
"Live Music Now Event","Sax - Ecosse - Michelle Melvin & Karen Dufour (Saxaphone Duo)","Free",,28/10/09 14:00,28/10/09 15:00,TRUE,"Music and Performing Arts","Performance",,,,"0845 034 9520",,,"Harrogate Library","Station Bridge",,,"Harrogate",,"HG1 1SP",,FALSE,
"Live Music Now Event","Sax - Ecosse - Michelle Melvin & Karen Dufour (Saxaphone Duo)","Free",,29/10/09 10:30,29/10/09 11:30,TRUE,"Music and Performing Arts","Performance",,,,"0845 034 9506",,,"Northallerton Library","1 Thirsk Road",,,"Northallerton",,"DL6 1PT",,FALSE,
"Live Music Now Event","Sax - Ecosse - Michelle Melvin & Karen Dufour (Saxaphone Duo)","Free",,29/10/09 14:00,29/10/09 15:00,TRUE,"Music and Performing Arts","Performance",,,,"0845 034 9506",,,"Northallerton Library","1 Thirsk Road",,,"Northallerton",,"DL6 1PT",,FALSE,
"Live Music Now Event","Sax - Ecosse - Michelle Melvin & Karen Dufour (Saxaphone Duo)","Free",,30/10/09 10:30,30/10/09 11:30,TRUE,"Music and Performing Arts","Performance",,,,"0845 034 9516",,,"Scarborough Library","Vernon Road",,,"Scarborough",,"YO11 2NN",,FALSE,
"Live Music Now Event","Sax - Ecosse - Michelle Melvin & Karen Dufour (Saxaphone Duo)","Free",,30/10/09 14:00,30/10/09 15:00,TRUE,"Music and Performing Arts","Performance",,,,"0845 034 9516",,,"Scarborough Library","Vernon Road",,,"Scarborough",,"YO11 2NN",,FALSE,
"Love,Live,Learn","Trip to High Lodge Thetford Forest to experience the outdoors using all the senses.  Orienteering to keep active, picnic and finishing with a story teller with sories of the forest and nature.","Free",,27/10/09 09:00,,TRUE,"Nature & the Environment","Other",,"Viv Donaldson",,"01842 766438",,,"Sure Start children's centre","Kingsway",,,"Thetford",,"Ip24 3DY",,TRUE,
"Mad about Cards","In this enjoyable session, families will be able to make their own handmade cards that they can use to send to family and friends. This will be a creative session with lots of hands on fun for adults and children alike.  Up to 2 children aged 5 years and over and one or two adult family members can attend.  Course Ref: FL06","Free",5,11/10/09 10:30,11/10/09 12:30,TRUE,"Culture, Arts & Crafts","Workshop",,,,"020 8543 9292",,,"Merton Adult Education ","Whatley Avenue",,,"Merton",,"SW20 9NS",,TRUE,
"Mario Kart Wii Event","Dads and sons.  Max 25.","Free",,19/10/09 17:00,19/10/09 19:00,TRUE,"Technology & Broadcasting","Competition",,"Pat Richardson / Jo Jones",,"01924 302525",,,"Normanton Library","Market Street",,,"Normanton",,"WF6 2AR",,TRUE,
"Mary Seacole","Find out more about the extraordinary nurse who helped many soldiers during the Crimean War and how she came to settle in London in this entertaining gallery drama.","Free (Charge for adult Museum entry applies. Kids go free all year round)",,18/10/09 13:00,18/10/09 13:30,TRUE,"Music and Performing Arts","Performance",,"Box Office",,"020 7001 9844",,,"Museum of London Docklands","West India Quay",,,"London",,"E14 4AL",,TRUE,
"Master Class - Optical Illusion art workshop","Optical illusion art workshop for fathers, grandfathers, male carers and sons with artist Viyki Turnbull.  All materials supplied.  For children 7+.  Please book in advance - call 0208 356 3000.","Free",,24/10/09 10:30,24/10/09 12:00,TRUE,"Culture, Arts & Crafts","Workshop",,"Amber Linell",,"0778 069 5989",,,"Hackney Central Library","1 Reading Lane",,,"Hackney",,"E8 1GQ",,FALSE,
"Mathtastic!","Learn how to master maths in a fun way with Primary mathematics teacher Norma Hewins as she shows parents and children some exciting maths tips and tricks.  For children 6 - 11.","Free",,30/10/09 10:30,30/10/09 12:00,TRUE,"Other","Class",,"Amber Linell",,"0778 069 5989",,,"Hackney Central Library","1 Reading Lane",,,"Hackney",,"E8 1GQ",,FALSE,
"Moon & Stars Drop-in Session","Create a magical mobile in this free drop-in session, running from 1 - 4pm.","Free",,29/10/09 13:00,29/10/09 16:00,TRUE,"Culture, Arts & Crafts","Workshop",,,,"01228 618718",,,"Tullie House Museum & Art Gallery","Castle Street",,,"Carlisle",,"CA3 8TP",,FALSE,"www.tulliehouse.co.uk"
"My World Event","“My world”-eventOn 17th OctoberYou want to have a fun and informative day with your whole family? You want to explore your world in the internet? Then come and visit us at the Attlee Youth and Community CentreActivities will be: •Indoor activities•Outdoor play•Healthy snacks•Face painting•Different workshops and activities around the internet. Topics will be:“Google” – how the get information about interesting topics“Email and chat” – how to set an email account and communicate to other people“Word” – how to write a letter“Children’s plays and games”","Free",,17/10/09 09:00,,TRUE,"Technology & Broadcasting","Workshop",,,,,,,"5 Thrawl Street",,,,"Tower Hamlets",,"E1 6RT",,FALSE,
"Mythical Masks and Legends, DJ workshop, Breakdancing, Jewellery Making with Beads, Make a Jeans Tote Bag, Marzipan Animals, Singing workshop","Learn and Train are offering the courses listed for FREE but please note there might be a small charge for materials for some of the classes. We must insist that an adult be present and there should be a maximum of two children per adult. For more information give us a call, email us on learn&train@parksidefederation.org.uk or check out our website","Free",,24/10/09 09:00,24/10/09 15:00,TRUE,"Culture, Arts & Crafts","Workshop",,"Zoe Sweet",,"01223 712340",,,"Manor Campus","Arbury Road",,"Cambridge","Cambridge",,"CB4 2JF",,TRUE,"www.parksidefederation.org.uk/learn&train"
"Nail Art","Mums and daughters.  Max 30","Free",,27/10/09 14:00,27/10/09 16:00,TRUE,"Culture, Arts & Crafts","Class",,"Pat Richardson / Jo Jones",,"01924 302525",,,"Normanton Library","Market Street",,,"Normanton",,"WF6 2AR",,TRUE,
"Nail Art Drop In","Contact library for more details.","Free",,29/10/09 09:00,29/10/09 12:00,TRUE,"Culture, Arts & Crafts","Class",,"Pat Richardson",,"01977 724040",,,"Airedale Library","The Airdale Centre","The Square",,"Airedale",,"WF10 3JJ",,FALSE,
"Nanny of the Maroons","Discover the amazing story of Nanny of the Maroons. Nanny is said to have been a fierce military leader in 1740s Jamaica. She is known for her resistance, for outwitting the British Army and for leading many Africans to freedom.","Free(Charge for adult Museum entry applies. Kids go free all year round)",,28/10/09 12:30,28/10/09 13:00,TRUE,"Heritage and History","Performance",,"Box Office",,"020 7001 9844",,,"Museum of London Docklands","West India Quay",,,"London",,"E14 4AL",,TRUE,
"National BookStart Day","An opportunity for parents/carers to make resources and games to use with their children.  ","Free",,09/10/09 10:00,09/10/09 12:00,TRUE,"Other","Class",,,,"01454 864613",,,"Yate Shopping Centre","North Walk",,"Yate","Bristol",,"BS37 4AP",,FALSE,
"National BookStart Day","An opportunity for parents/carers to make resources and games to use with their children.  ","Free",,09/10/09 13:00,09/10/09 15:00,TRUE,"Other","Class",,,,"01454 864613",,,"Yate Shopping Centre","North Walk",,"Yate","Bristol",,"BS37 4AP",,FALSE,
"Nintendo Wii Event","Contact library for more details.","Free",,26/10/09 17:00,26/10/09 18:00,TRUE,"Technology & Broadcasting","Competition",,"Allison Dawson",,"01924 302270",,,"Flanshaw Library","Flanshaw Lane",,"Dewsbury Road","Wakefield",,"WF2 9JA",,FALSE,
"Nursery Rhyme Time Session","Come along and sing along with bubbles, puppets and storytelling.  For children under 5.","Free",,24/10/09 11:00,24/10/09 12:00,TRUE,"Music and Performing Arts","Performance",,"Amber Linell",,"0778 069 5989",,,"Stoke Newington Library","Church Street",,,"Hackney",,"N16 0JS",,FALSE,
"Open Week to launch New Family Learning area","Open Days ","Free",,19/10/09 10:00,19/10/09 16:00,TRUE,"Other","Other",,"Tracy Cory",,"01733 314551",,,"41 Broadway","Peterborough",,,"Peterborough",,"PE1 1SQ",,TRUE,
"Oral storytelling workshop","Join visual performance artist Alina Gavrielatos and have fun learning how to polish your storytelling skils.  For children 6+.  Please book in advance - call 0208 356 3000.","Free",6,27/10/09 14:00,27/10/09 16:00,TRUE,"Music and Performing Arts","Performance",,"Amber Linell",,"0778 069 5989",,,"Hackney Central Library","1 Reading Lane",,,"Hackney",,"E8 1GQ",,FALSE,
"Pastime Perils Family Fun","A free family activity day celebrating crafty crafts and pastime perils from our history books!  Get creative with your sticking, cutting and making skills!  Lots of family fun and fantastic facts to be found!  Children must be accompanied by an adult.","Free",,03/10/09 10:30,03/10/09 15:30,TRUE,"Culture, Arts & Crafts","Workshop",,"Ann Hall",,"01204 332 841",,,"Bolton Museum",,,,"Bolton",,"BL1 1SE",,FALSE,
"Pinata Making","Find out about this famous Latin tradition and make your own piñata to fill with sweets. Suitable for families with children 7 and over. All children must be supervised by an adult.","free",,27/10/09 14:30,27/10/09 16:00,TRUE,"Heritage and History","Workshop",,"The Cuming Museum",,"020 7525 2332",,,"The Cuming Museum","The Old Town Hall","151 Walworth Road",,"London",,"SE17 1RY",,TRUE,
"poetry peg up","Peg up a poem for National Poetry Day","free",,09/10/09 09:00,,TRUE,"Music and Performing Arts","Class",,"Library",,1924325080,,,"Dewsbury Library","railway street",,,"Dewsbury",,"WF12 8EQ",,TRUE,
"Pottery workshops","Drop in pottery workshops with Jo Burbury.   ","Free",,18/10/09 10:00,18/10/09 12:00,TRUE,"Culture, Arts & Crafts","Workshop",,"Sue Clayton",,"01298 25331",,,"Matlock Library","Steep Turnpike",,,"Matlock",,"DE4 3DP",,FALSE,"www.derbyshire.gov.uk"
"Pottery workshops","Drop in pottery workshops with Jo Burbury.   ","Free",,18/10/09 13:00,18/10/09 15:00,TRUE,"Culture, Arts & Crafts","Workshop",,"Sue Clayton",,"01298 25331",,,"Matlock Library","Steep Turnpike",,,"Matlock",,"DE4 3DP",,FALSE,"www.derbyshire.gov.uk"
"Pumpkin party","Open garden event linking healthy eating / lifestyles with gardening activity for all the family","Free",,30/10/09 09:30,30/10/09 13:00,TRUE,"Health and Wellbeing","Other",,"Chris Harris",,"01283 219761",,,"46 - 48 Grove Street",,,,"Swadlincote",,"DE11 9DD",,FALSE,
"Pyrography workshops","Drop in Pyrography workshops with Bob Neill","Free",,18/10/09 11:00,18/10/09 15:00,TRUE,"Other","Workshop",,"Sue Clayton",,"01298 25331",,,"Hayfield Library","Kinder Road",,,"Hayfield",,"SK22 2HS",,FALSE,"www.derbyshire.gov.uk"
"Reader Group Author Event","Contact library for further details.","Free",,26/10/09 19:00,26/10/09 21:00,TRUE,"Other","Other",,,,"01924 305376",,,"Drury Lane Library","Drury Lane",,,"Wakefield",,"WF1 2TD",,FALSE,
"Recycled Modelling (with the Pre School Learning Alliance)","Parents and children will be encourage to design and build their own models using recycled materials.  They will also get some ideas on how to do fun modelling at no cost at home. Up to 2 children aged 1 year and over can attend with one or two family members.  ","Free",1,23/10/09 10:30,23/10/09 12:00,TRUE,"Culture, Arts & Crafts","Class",,"Abbey Children's Centre",,"020 8543 4435",,,"Abbey Children's Centre","High Path",,,"Merton",,"SW19 2JY",,TRUE,
"Return of the Robots","Repeated by popular request!  Build your own battery powered mars rover.  Ticketed event for families, children must attend with a parent.  Free tickets are available from Highfield Library - book your place fast as places are limited.","Free",,26/10/09 14:00,26/10/09 16:00,TRUE,"Technology & Broadcasting","Workshop",,"Ann Hall",,"01204 332 841",,,"Highfield Library",,,,"Bolton",,"BL1 1SE",,TRUE,
"Rhyme and Story Time","Enjoy a story and some singing in the Aragon Library.  Up to 2 children aged 3 and under can attend with one family member.","Free",3,20/10/09 09:30,20/10/09 10:00,TRUE,"Music and Performing Arts","Performance",,"Aragon School",,"020 8337 0505",,,"Lower Morden Children's Centre","Aragon Road",,,"Morden",,"SM4 4QU",,FALSE,
"Roman family photo","Come and make Roman costumes together and then use a digital camera to create a family portrait to take home. A creative workshop for families. suitable for children aged 2+","Free",2,28/10/09 11:00,28/10/09 11:45,TRUE,"Culture, Arts & Crafts","Mini-Project",,"Box Office",,"020 7001 9844",,,"Museum of London","150 London Wall",,,"London",,"EC2Y 5HN",,TRUE,
"Roman family photo","Come and make Roman costumes together and then use a digital camera to create a family portrait to take home. A creative workshop for families. suitable for children aged 2+","Free",2,28/10/09 12:30,28/10/09 13:15,TRUE,"Culture, Arts & Crafts","Mini-Project",,"Box Office",,"020 7001 9844",,,"Museum of London","150 London Wall",,,"London",,"EC2Y 5HN",,TRUE,
"Roman family photo","Come and make Roman costumes together and then use a digital camera to create a family portrait to take home. A creative workshop for families. suitable for children aged 2+","Free",2,28/10/09 14:00,28/10/09 14:45,TRUE,"Culture, Arts & Crafts","Mini-Project",,"Box Office",,"020 7001 9844",,,"Museum of London","150 London Wall",,,"London",,"EC2Y 5HN",,TRUE,
"Running 1000 miles to freedom","Discover the inspiring story of Ellen Craft, the talk of Victorian London, and find out how she overcame many dangers to become a celebrated abolitionist.","Free (Charge for adult Museum entry applies. Kids go free all year round)",,26/10/09 12:30,26/10/09 13:00,TRUE,"Music and Performing Arts","Other",,"Box Office",,"020 7001 9844",,,"Museum of London Docklands","West India Quay",,,"London",,"E14 4AL",,TRUE,
"Running 1000 miles to freedom","Discover the inspiring story of Ellen Craft, the talk of Victorian London, and find out how she overcame many dangers to become a celebrated abolitionist.","Free (Charge for adult Museum entry applies. Kids go free all year round)",,26/10/09 14:03,26/10/09 15:00,TRUE,"Music and Performing Arts","Other",,"Box Office",,"020 7001 9844",,,"Museum of London Docklands","West India Quay",,,"London",,"E14 4AL",,TRUE,
"Running 1000 miles to freedom","Discover the inspiring story of Ellen Craft, the talk of Victorian London, and find out how she overcame many dangers to become a celebrated abolitionist.","Free (Charge for adult Museum entry applies. Kids go free all year round)",,26/10/09 15:30,26/10/09 16:00,TRUE,"Music and Performing Arts","Other",,"Box Office",,"020 7001 9844",,,"Museum of London Docklands","West India Quay",,,"London",,"E14 4AL",,TRUE,
"Rythm and rhyme workshops with Caryl Hart","Rythm and rhyme workshops with author Caryl Hart.","Free (Charge for adult Museum entry applies. Kids go free all year round)",,18/10/09 10:30,18/10/09 12:00,TRUE,"Music and Performing Arts","Workshop",,"Sue Clayton",,"01298 25331",,,"Gamesley Library","Grindleford Grove",,,"Gamesley",,"SK13 6HW",,TRUE,"www.derbyshire.gov.uk"
"Rythm and rhyme workshops with Caryl Hart","Rythm and rhyme workshops with author Caryl Hart.","Free",,18/10/09 13:00,18/10/09 14:30,TRUE,"Music and Performing Arts","Workshop",,"Sue Clayton",,"01298 25331",,,"Gamesley Library","Grindleford Grove",,,"Gamesley",,"SK13 6HW",,TRUE,"www.derbyshire.gov.uk"
"Splash & Smudge","Create your own artwork using hands, feet, paints and more...  Don't be afraid to get messy and let your imagination go wild!  Up to 2 children aged 2 to 5 can attend with one or two family members.","Free",2,28/10/09 10:00,28/10/09 11:15,TRUE,"Culture, Arts & Crafts","Workshop",,"Aragon School",,"020 8337 0505",,,"Lower Morden Children's Centre","Aragon Road",,,"Morden",,"SM4 4QU",,TRUE,
"Splash & Smudge","Create your own artwork using hands, feet, paints and more...  Don't be afraid to get messy and let your imagination go wild!  Up to 2 children aged 2 to 5 can attend with one or two family members.","Free",2,28/10/09 13:00,28/10/09 14:15,TRUE,"Culture, Arts & Crafts","Workshop",,"Aragon School",,"020 8337 0505",,,"Lower Morden Children's Centre","Aragon Road",,,"Morden",,"SM4 4QU",,TRUE,
"Splash & Smudge","Create your own artwork using hands, feet, paints and more...  Don't be afraid to get messy and let your imagination go wild!  Up to 2 children aged 2 to 5 can attend with one or two family members.","Free",,29/10/09 10:00,29/10/09 11:15,TRUE,"Culture, Arts & Crafts","Workshop",,"Aragon School",,"020 8337 0505",,,"Lower Morden Children's Centre","Aragon Road",,,"Morden",,"SM4 4QU",,TRUE,
"Splash & Smudge","Create your own artwork using hands, feet, paints and more...  Don't be afraid to get messy and let your imagination go wild!  Up to 2 children aged 2 to 5 can attend with one or two family members.","Free",,29/10/09 13:00,29/10/09 14:15,TRUE,"Culture, Arts & Crafts","Workshop",,"Aragon School",,"020 8337 0505",,,"Lower Morden Children's Centre","Aragon Road",,,"Morden",,"SM4 4QU",,TRUE,
"Stories, Songs and Fun","Come and join us for stories, songs and fun with storyteller Barry Shaw.  For children under 8.","Free",,17/10/09 13:00,17/10/09 14:00,TRUE,"Music and Performing Arts","Performance",,"Amber Linell",,"0778 069 5989",,,"Hackney Central Library","1 Reading Lane",,,"Hackney",,"E8 1GQ",,FALSE,
"Story time","Join the Museum's Hosts to discover stories from and about London. You could discover whether William Night became a knight, if sparrow Samuel returns all the lost items he found, or solve the clues in our Roman game. For dates call the Box Office.","Free",,18/10/09 11:00,18/10/09 11:20,TRUE,"Heritage and History","Demonstration",,"Box Office",,"020 7001 9844",,,"Museum of London","150 London Wall",,,"London",,"EC2Y 5HN",,TRUE,
"Story time","Join the Museum's Hosts to discover stories from and about London. You could discover whether William Night became a knight, if sparrow Samuel returns all the lost items he found, or solve the clues in our Roman game. For dates call the Box Office.","Free",,25/10/09 11:00,25/10/09 11:20,TRUE,"Heritage and History","Demonstration",,"Box Office",,"020 7001 9844",,,"Museum of London","150 London Wall",,,"London",,"EC2Y 5HN",,TRUE,
"Storytime with Apples & Snakes: Toddlers’ Tales and Rhymes (for children aged 2 to 5)","London’s finest storytellers and poets tell you tales from Europe to Africa, Bangladesh to the Caribbean and beyond! These fun, interactive sessions use games, activities and performance to encourage language, listening and imagination. Why not combine one of our Saturday sessions with our Kids’ Cine Time screenings at 11am.","Free",,19/10/09 13:30,19/10/09 14:30,TRUE,"Music and Performing Arts","Performance",,"Thalia Cassimatis",,"23 7613 7494",,,"Rich Mix","35-47 Bethnal Green Road",,,"London",,"E1 6LA",,TRUE,"http://www.richmix.org.uk/education_families.htm"
"Storytime with Apples & Snakes: Toddlers’ Tales from the Magic Carpet (for children aged 5 to 12)","London’s finest storytellers and poets tell you tales from Europe to Africa, Bangladesh to the Caribbean and beyond! These fun, interactive sessions use games, activities and performance to encourage language, listening and imagination. Why not combine one of our Saturday sessions with our Kids’ Cine Time screenings at 11am.","Free",,17/10/09 13:30,17/10/09 14:30,TRUE,"Music and Performing Arts","Performance",,"Thalia Cassimatis",,"020 7613 7494",,,"Rich Mix","35-47 Bethnal Green Road",,,"London",,"E1 6LA",,TRUE,"http://www.richmix.org.uk/education_families.htm"
"Super Holiday Kids’ Workshops","This season we have two film-making sessions during October half-term. Whether you’re a budding animator, director or editor, unleash your talents at these exciting afternoon workshops. And why not attend the Kids’ Cine Time half-term screening in the morning too! Each workshop will tie into the theme of the Kids’ Cine Time film shown that day. Our film-making workshops are suitable for 5 to 12-year-olds. Please note there is a maximum capacity of ten children per workshop. Parents and carers are welcome to accompany their child. We recommend that children under the age of eight are accompanied by an adult during the workshop.","Free",5,27/10/09 13:00,27/10/09 16:00,TRUE,"Technology & Broadcasting","Workshop",,"Thalia Cassimatis",,"020 7613 7494",,,"Rich Mix","35-47 Bethnal Green Road",,,"London",,"E1 6LA",,TRUE,"http://www.richmix.org.uk/education_families.htm"
"Super Holiday Kids’ Workshops","This season we have two film-making sessions during October half-term. Whether you’re a budding animator, director or editor, unleash your talents at these exciting afternoon workshops. And why not attend the Kids’ Cine Time half-term screening in the morning too! Each workshop will tie into the theme of the Kids’ Cine Time film shown that day. Our film-making workshops are suitable for 5 to 12-year-olds. Please note there is a maximum capacity of ten children per workshop. Parents and carers are welcome to accompany their child. We recommend that children under the age of eight are accompanied by an adult during the workshop.","Free",5,28/10/09 13:00,28/10/09 16:00,TRUE,"Technology & Broadcasting","Workshop",,"Thalia Cassimatis",,"020 7613 7494",,,"Rich Mix","35-47 Bethnal Green Road",,,"London",,"E1 6LA",,TRUE,"http://www.richmix.org.uk/education_families.htm"
"Super Sunday Kids’ Workshops","Come and discover your film-making potential with these fun, hands-on workshops! Children will have the opportunity to use digital cameras and editing software to create their own short animated films. Sessions will explore storyboarding, early animation techniques, stop-motion animation, sound effects and camera skills. Each workshop will tie into the theme of the Kids’ Cine Time film shown that day.","Free",,11/10/09 13:30,11/10/09 15:00,TRUE,"Technology & Broadcasting","Workshop",,"Thalia Cassimatis",,"020 7613 7494",,,"Rich Mix","35-47 Bethnal Green Road",,,"London",,"E1 6LA",,TRUE,"http://www.richmix.org.uk/education_families.htm"
